Gene,Final_Weight,Calculation_Details
LGALS3BP,1.0,Base:1.0 + Bio:0.0(Raw:0)
FNBP4,1.0,Base:1.0 + Bio:0.0(Raw:0)
BRSK1,1.0,Base:1.0 + Bio:0.0(Raw:0)
STARD8,1.0,Base:1.0 + Bio:0.0(Raw:0)
CTNNAL1,1.0,Base:1.0 + Bio:0.0(Raw:0)
GNG5,1.0,Base:1.0 + Bio:0.0(Raw:0)
SGSM2,1.0,Base:1.0 + Bio:0.0(Raw:0)
ZFP90,1.0,Base:1.0 + Bio:0.0(Raw:0)
DYRK2,1.0,Base:1.0 + Bio:0.0(Raw:0)
TCN2,1.0,Base:1.0 + Bio:0.0(Raw:0)
SCRN1,1.0,Base:1.0 + Bio:0.0(Raw:0)
TDRD7,1.0,Base:1.0 + Bio:0.0(Raw:0)
FAH,1.0,Base:1.0 + Bio:0.0(Raw:0)
YPEL1,1.0,Base:1.0 + Bio:0.0(Raw:0)
SLC66A2,1.0,Base:1.0 + Bio:0.0(Raw:0)
CTDSP2,1.0,Base:1.0 + Bio:0.0(Raw:0)
SNF8,1.0,Base:1.0 + Bio:0.0(Raw:0)
GZMK,1.0,Base:1.0 + Bio:0.0(Raw:0)
COLQ,1.0,Base:1.0 + Bio:0.0(Raw:0)
NAA38,1.0,Base:1.0 + Bio:0.0(Raw:0)
TRIP6,1.0,Base:1.0 + Bio:0.0(Raw:0)
SYTL1,1.0,Base:1.0 + Bio:0.0(Raw:0)
REC8,1.0,Base:1.0 + Bio:0.0(Raw:0)
COMMD4,1.0,Base:1.0 + Bio:0.0(Raw:0)
ABLIM1,1.0,Base:1.0 + Bio:0.0(Raw:0)
ASGR1,1.0,Base:1.0 + Bio:0.0(Raw:0)
CYSTM1,1.0,Base:1.0 + Bio:0.0(Raw:0)
IFI27L2,1.0,Base:1.0 + Bio:0.0(Raw:0)
UBE2S,1.0,Base:1.0 + Bio:0.0(Raw:0)
OAF,1.0,Base:1.0 + Bio:0.0(Raw:0)
RUBCNL,1.0,Base:1.0 + Bio:0.0(Raw:0)
ZNF83,1.0,Base:1.0 + Bio:0.0(Raw:0)
F12,1.0,Base:1.0 + Bio:0.0(Raw:0)
SLC22A16,1.0,Base:1.0 + Bio:0.0(Raw:0)
SRSF5,1.0,Base:1.0 + Bio:0.0(Raw:0)
HNRNPDL,1.0,Base:1.0 + Bio:0.0(Raw:0)
RNF181,1.0,Base:1.0 + Bio:0.0(Raw:0)
CD163,1.0,Base:1.0 + Bio:0.0(Raw:0)
MT2A,1.0,Base:1.0 + Bio:0.0(Raw:0)
FCRL2,1.0,Base:1.0 + Bio:0.0(Raw:0)
SRSF4,1.0,Base:1.0 + Bio:0.0(Raw:0)
PIK3C2B,1.0,Base:1.0 + Bio:0.0(Raw:0)
BCL11A,1.0,Base:1.0 + Bio:0.0(Raw:0)
ATF5,1.0,Base:1.0 + Bio:0.0(Raw:0)
RFWD3,1.0,Base:1.0 + Bio:0.0(Raw:0)
PTMS,1.0,Base:1.0 + Bio:0.0(Raw:0)
SLC35F6,1.0,Base:1.0 + Bio:0.0(Raw:0)
BLOC1S1,1.0,Base:1.0 + Bio:0.0(Raw:0)
