Gene,Final_Weight,Calculation_Details
CASP5,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
EPHA4,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
S100A8,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
NMI,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
GPR183,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SIGLEC5,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SPOCK2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
DDX58,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
KDM3B,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
IFI30,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
DRAM1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CARD16,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
TRIM21,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
MCEMP1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
KIR3DL1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
SPG11,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
FBL,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
EIF3L,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
RPS27,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
EEF1B2,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
EEF1G,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
RPS23,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
RPL4,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
RPS13,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
LGALS9,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
F2RL1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
ARG1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
TAP1,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
CD160,2.0,Base:1.0 + Bio:1.0(Raw:1) + ML:0.0(Raw:0)
